modpos_hex,order,row,ms,speed,bpm,note
0x0816,8,22,52770.8,5,128,
0x0817,8,23,52868.4,5,128,
0x0818,8,24,52966.1,5,128,
0x0819,8,25,53063.8,5,128,
0x081a,8,26,53161.4,5,128,
0x081b,8,27,53259.1,5,128,
0x081c,8,28,53356.7,5,128,
0x081d,8,29,53454.4,5,128,
0x081e,8,30,53552.0,5,128,
0x081f,8,31,53649.7,5,128,
0x0820,8,32,53747.3,5,128,
0x0821,8,33,53845.0,5,128,
0x0822,8,34,53942.7,5,128,
0x0823,8,35,54040.3,5,128,
0x0824,8,36,54138.0,5,128,
0x0825,8,37,54235.6,5,128,
0x0826,8,38,54333.3,5,128,
0x0827,8,39,54430.9,5,128,
0x0828,8,40,54528.6,5,128,
0x0829,8,41,54626.3,5,128,
0x082a,8,42,54723.9,5,128,
0x082b,8,43,54821.6,5,128,
0x082c,8,44,54919.2,5,128,
0x082d,8,45,55016.9,5,128,
0x082e,8,46,55114.5,5,128,
0x082f,8,47,55212.2,5,128,
0x0830,8,48,55309.8,5,128,
0x0831,8,49,55407.5,5,128,
0x0832,8,50,55505.2,5,128,
0x0833,8,51,55602.8,5,128,
0x0834,8,52,55700.5,5,128,
0x0835,8,53,55798.1,5,128,
0x0836,8,54,55895.8,5,128,
0x0837,8,55,55993.4,5,128,
0x0838,8,56,56091.1,5,128,
0x0839,8,57,56188.8,5,128,
0x083a,8,58,56286.4,5,128,
0x083b,8,59,56384.1,5,128,
0x083c,8,60,56481.7,5,128,
0x083d,8,61,56579.4,5,128,
0x083e,8,62,56677.0,5,128,
0x083f,8,63,56774.7,5,128,
0x0900,9,0,56872.3,5,128,
0x0901,9,1,56970.0,5,128,
0x0902,9,2,57067.7,5,128,
0x0903,9,3,57165.3,5,128,
0x0904,9,4,57263.0,5,128,
0x0905,9,5,57360.6,5,128,
0x0906,9,6,57458.3,5,128,
0x0907,9,7,57555.9,5,128,
0x0908,9,8,57653.6,5,128,
0x0909,9,9,57751.3,5,128,
0x090a,9,10,57848.9,5,128,
0x090b,9,11,57946.6,5,128,
0x090c,9,12,58044.2,5,128,
0x090d,9,13,58141.9,5,128,
0x090e,9,14,58239.5,5,128,
0x090f,9,15,58337.2,5,128,
0x0910,9,16,58434.8,5,128,
0x0911,9,17,58532.5,5,128,
0x0912,9,18,58630.2,5,128,
0x0913,9,19,58727.8,5,128,
0x0914,9,20,58825.5,5,128,
0x0915,9,21,58923.1,5,128,
0x0916,9,22,59020.8,5,128,
0x0917,9,23,59118.4,5,128,
0x0918,9,24,59216.1,5,128,
0x0919,9,25,59313.8,5,128,
0x091a,9,26,59411.4,5,128,
0x091b,9,27,59509.1,5,128,
0x091c,9,28,59606.7,5,128,
0x091d,9,29,59704.4,5,128,
0x091e,9,30,59802.0,5,128,
0x091f,9,31,59899.7,5,128,
0x0920,9,32,59997.3,5,128,
0x0921,9,33,60095.0,5,128,
0x0922,9,34,60192.7,5,128,
0x0923,9,35,60290.3,5,128,
0x0924,9,36,60388.0,5,128,
0x0925,9,37,60485.6,5,128,
0x0926,9,38,60583.3,5,128,
0x0927,9,39,60680.9,5,128,
0x0928,9,40,60778.6,5,128,
0x0929,9,41,60876.3,5,128,
0x092a,9,42,60973.9,5,128,
0x092b,9,43,61071.6,5,128,
0x092c,9,44,61169.2,5,128,
0x092d,9,45,61266.9,5,128,
0x092e,9,46,61364.5,5,128,
0x092f,9,47,61462.2,5,128,
0x0930,9,48,61559.8,5,128,
0x0931,9,49,61657.5,5,128,
0x0932,9,50,61755.2,5,128,
0x0933,9,51,61852.8,5,128,
0x0934,9,52,61950.5,5,128,
0x0935,9,53,62048.1,5,128,
0x0936,9,54,62145.8,5,128,
0x0937,9,55,62243.4,5,128,
0x0938,9,56,62341.1,5,128,
0x0939,9,57,62438.8,5,128,
0x093a,9,58,62536.4,5,128,
0x093b,9,59,62634.1,5,128,
0x093c,9,60,62731.7,5,128,
0x093d,9,61,62829.4,5,128,
0x093e,9,62,62927.0,5,128,
0x093f,9,63,63024.7,5,128,
0x0a00,10,0,63122.3,5,128,
0x0a01,10,1,63220.0,5,128,
0x0a02,10,2,63317.7,5,128,
0x0a03,10,3,63415.3,5,128,
0x0a04,10,4,63513.0,5,128,
0x0a05,10,5,63610.6,5,128,
0x0a06,10,6,63708.3,5,128,
0x0a07,10,7,63805.9,5,128,
0x0a08,10,8,63903.6,5,128,
0x0a09,10,9,64001.3,5,128,
0x0a0a,10,10,64098.9,5,128,
0x0a0b,10,11,64196.6,5,128,
0x0a0c,10,12,64294.2,5,128,
0x0a0d,10,13,64391.9,5,128,
0x0a0e,10,14,64489.5,5,128,
0x0a0f,10,15,64587.2,5,128,
0x0a10,10,16,64684.8,5,128,
